code,food_name,ca_mg,fe_mg,mg_mg,p_mg,k_mg,na_mg,zn_mg,se_mcg
12009,"Wine, White, Sweet",10,0.6,9,16,81,20,0.08,1
13001,Anise seed,648,37,170,440,1440,16,5.3,5
13002,"Baking powder, dry powder",4280,9.7,34,8410,10200,8850,0.89,0
13003,"Baking soda (bicarbonate), dry powder",0,0,0,0,0,27400,0,0
13004,"Bay leaf, dried",832,43,120,112,530,23,3.7,3
13005,"Cardamom, seeds, ground",383,14,215,165,1120,18,7.47,1
13006,"Chilli, fresh, raw",15,1.2,30,51,320,3,0.27,1
13007,"Chilli, dried",142,6.2,175,274,2250,19,1.66,19
13008,"Cinnamon, dried, ground",1183,8.3,54,21,482,17,2,3
13009,"Cloves, dry, raw",536,14.2,253,86,877,183,1.13,8
13010,"Coconut, Milk",5,0.5,10,43,131,19,0.26,2
13011,"Coriander Leaves, fresh, raw",115,6.6,45,44,578,40,0.54,1
13012,"Coriander seed, dried, ground",613,20.1,245,347,1189,27,3.6,24.9
13013,"Cumin seeds, dried, raw",854,38.4,330,308,1213,124,4.05,5
13014,"Curry leaves, fresh, raw",740,6.9,201,70,584,19,1.18,17
13015,Curry powder,479,34.3,333,301,1728,52,4.08,17
13016,"Fenugreek leaves, fresh, raw",185,7.8,61,48,96,66,0.54,4
13017,"Fenugreek seeds, raw",160,14.1,183,370,530,48,2.93,8
13018,Garam masala,760,32.6,330,390,1450,97,3.8,17
13019,"Garlic, peeled or unpeeled, fresh, raw",30,1.3,25,39,510,8,1,14
13020,"Ginger, dried, ground",152,24.3,335,310,1225,50,3.72,55
13021,"Green Ginger (Mature), fresh, raw",46.8,1.9,38,93.7,661,18,1,2
13022,"Mint Leaves, fresh, raw",200,3.6,34,62,380,28,0.8,1
13023,"Onion, mature, red skinned, peeled, fresh, raw",26,0.9,19,40,152,5,0.16,1
13024,"Onion, spring, raw",44,1.3,14,34,225,12,0.3,1
13025,"Parsley, fresh, raw",390,5.06,35,175,1290,54,0.88,0
13026,"Pepper, ground, black, dry, raw",463,19.4,253,188,576,25,1.28,3
13027,"Salt, Iodized",32,0.1,1,6,98,38500,0.1,2
13028,"Spice, mixed or all spice",727,35.5,203,277,1440,90,3.65,3
13029,"Tamarind, fruit, dry, raw",166,9,83,190,836,25,1,2
13030,"Tamarind, fruit, fresh, raw",105,9.2,83,105,836,25,0.58,2
13031,"Tomato, sauce (Ketchup)",13,0.7,16,28,316,918,0.18,0.5
13032,"Tomato, paste, with added salt",30,1.7,43,71,911,630,0.57,4
13033,"Tomato, soup, condensed, canned",10,0.4,13,21,290,545,0.3,0.5
13034,"Turmeric, dried, ground",500,39,225,284,1250,25,3.6,4.3
13035,"Yeast, dry powder",120,3.4,230,1690,2000,50,8,1
14001,"Grasshopper, Brown, Fresh, Raw",7,3.7,10,35,75,66,3.57,0
14002,"Grasshopper, Green, Fresh, Raw",9,5.6,11,47,125,121,5.81,0
14003,"Termite, Dry, Raw",91,35.2,5,609,388,1969,0.09,4
14004,"Termite, Fresh, Raw",1460,8.3,15,780,200,4,0,0
15001,Uji wa mahindi (Maize Porridge),25,0.3,12,64,50,10,0.33,2
15002,"Sorghum, Finger Millet and Maize Porridge",33,0.5,14,47,57,10,0.27,2
15003,Kaimati (Fried Dumplings),17,2.1,16,93,81,4,0.45,0
15004,Mahamri (Swahili Doughnuts),20,2.8,19,113,101,4,0.56,0
15005,Whole Maize Flour Ugali,12,1.1,31,150,93,7,0.77,4
15006,Maize and Finger Millet Flour Ugali,79,2.9,48,112,158,6,0.73,5
15007,"Maize, Red Sorghum and Finger Millet Ugali",39,1.9,44,118,131,6,0.72,5
15008,Cassava and Red Sorghum Ugali,24,0.9,38,74,163,9,0.5,5
15009,Refined Maize Flour Ugali,12,1.1,33,158,97,8,0.81,4
15010,"Sorghum, Maize flour & Finger Millet Ugali",26,1.3,33,61,92,5,0.44,5
15011,Cassava Flour Ugali,79,0.8,26,57,326,20,0.41,1
15012,"Cassava, Millet & Sorghum Porridge",18,0.4,10,15,47,6,0.12,1
15013,Cassava Porridge (Uji wa Muhogo),12,0.1,4,7,39,5,0.05,0
15014,Finger Millet Porridge (Uji wa Wimbi),35,1.1,16,17,52,4,0.16,2
15015,Bulrush Millet Porridge (Uji wa Mawele),9,6,17,49,55,5,0.77,7
15016,Rice Flour Porridge (Uji wa Mchele),4,0.1,5,17,26,5,0.11,1
15017,Omena Stew (Silver Sardine Stew),378,1,20,333,188,449,2.26,4
15018,“Busara” (Whole Maize and Finger Millet Porridge),60,1.9,20,32,41,4,0.22,2
15019,White Chapati,25,3.9,22,126,90,100,0.61,0
15020,Brown Chapati,23,2.4,76,182,213,120,1.5,25
15022,Fried Egg (Mayai ya Kukaangwa),56,1.8,14,186,132,717,1.16,23
15023,Omelette,36,1.5,17,105,169,189,0.75,10
15024,Spanish Omelette,35,1.3,13,112,135,409,0.75,12
15025,Meat Samosa (Sambusa ya Nyama),51,11.5,37,288,302,175,2.99,13
15026,Vegetable Samosa (Sambusa ya Mboga),55,3.8,35,144,333,243,1.76,1
15027,Pancakes (Chapati za Maji),77,2.9,22,163,138,37,0.83,4
15028,Tosti Mayai (Egg Toast),56,2.1,25,167,152,587,1.2,20
15029,Drop Scones,61,2.4,18,135,112,116,0.69,4
15030,“Terere” (Stir fried amaranth leaves),192,4.9,87,72,442,161,0.75,14
15031,Sukumawiki (Stir fried kales),291,2.3,33,56,198,123,0.42,0
15032,Stir-fried Cabbage,48,0.6,11,43,305,510,0.24,1
15033,Mrenda and Seveve (Jute Mallow and Pumpkin leaves),141,1.8,26,105,197,180,0.62,2
15034,Pumpkin Leaves,166,2,51,101,236,332,0.67,2
15035,"Saget, Terere & Managu (Spider plant, Amaranth & African Nightshade leaves)",184,3.3,39,104,244,174,0.7,8
15036,Pilau (Spiced Rice),19,1.3,20,138,285,349,1.24,3
15037,Mseto wa Ndengu (Rice with green grams),19,0.8,23,53,101,59,0.48,2
15038,Mseto wa Maharagwe (Add Rice with Beans),27,1.3,24,129,172,356,0.76,1
15039,Nderema (Vine Spinach),233,9.5,37,55,389,170,0.41,0
15040,"Fiqe (Red Sorghum, Beans and Teff Flour)",170,3.5,77,214,315,495,1.4,4
15041,"Qanchibelo (Beef, Maize & Wheat Flour)",62,5.9,24,156,169,225,1.97,8
15042,Qita (Maize and Wheat flour pancake),24,2.8,28,131,105,158,1.81,0
15043,"Gurdo, Marqa (Ugali in Sour Milk)",103,2.2,78,246,264,268,1.36,9
15044,Mchuzi wa ndengu (Green Gram Stew),33,1.6,43,61,184,243,0.57,5
15045,Mchuzi wa Maharagwe (Bean Stew),20,1,17,92,125,165,0.44,1
15046,Mchuzi wa Ndengu Kamande (Lentil Stew),26,2,28,81,183,275,0.93,8
15047,Nyirinyiri (Camel meat),7,6.9,21,213,407,346,3.62,17
15049,Ashir,18,0.2,9,29,39,128,0.21,1
15051,"Ugali (Cassava, Fingermillet and Sorghum Flour Ugali)",69,1.7,40,70,236,11,0.53,4
15052,Yam Stew,13,0.7,14,46,279,347,0.21,0
15053,Githeri (stewed Maize & Beans),39,2.2,41,214,281,233,1.01,2
15054,"Mukimo (Maize, Beans, Potatoes & Pumpkin Leaves)",38,2,36,159,436,266,0.74,2
15055,Githeri (Sauteed Fresh Maize and beans),41,2.2,43,222,308,335,1.32,3
15056,Matoke (Stewed Green Bananas & Meat),16,3.9,22,105,380,381,1.12,5
15057,"Mukimo (Fresh Maize, Potatoes & Pumpkin Leaves)",44,1.6,35,116,404,336,0.93,2
15058,Stewed Potatoes & Arrowroots,8,0.9,17,38,401,173,0.44,1
15059,"Mukimo wa Njahi (Black Beans, Green Bananas & Potatoes)",31,3.2,65,152,606,273,1.06,4
15060,Githeri (Fresh beans and Maize),17,1.7,24,119,319,433,1.21,3
15061,Mashed Potato and Bananas,12,1.4,23,70,551,544,0.36,1
15062,Mukimo wa Njahi (Raw & Ripe Bananas),24,2.2,54,103,437,229,0.79,3
15063,Groundnut Sauce,132,2.3,101,209,366,492,1.2,7
15064,Vimumunya vya Chumvi (Pumpkin & Coconut Milk),16,0.3,13,39,183,325,0.25,1
15065,Vinolo (Banana and Maize Flour Ugali),9,1.2,22,68,147,9,1.16,0
15066,Biryani rice,9,0.3,9,52,22,180,0.47,0
15067,Vimumunya vya Sukari (Sweetened Pumpkin & Coconut Milk),14,0.3,11,31,155,15,0.21,1
15068,Wukunu (Sweet potatoes & Dehulled Black Beans),21,1.5,33,82,288,229,0.41,1
15069,Mushenye (Green Maize and Sweet Potatoes),44,2.3,51,196,340,242,1.07,3
15070,Ingokho (Stewed Chicken),21,2.7,23,211,210,482,1.01,16
15072,Tsiswa (Stewed termites),85,24.8,19,123,831,1070,1.85,29
15073,Ingokho (Fried Chicken),31,5.6,38,492,410,932,2.13,39
15074,Wali wa Kuchemshwa (Boiled Rice),9,0.3,9,50,21,216,0.46,0
15075,Wali wa Yasmin (Onion Fried Rice),13,0.5,12,61,46,275,0.53,1
15076,Stir-fried Spinach,99,3.7,66,47,299,870,0.62,1
15077,Thabai / Thaa (Stinging Nettle Leaves),132,1.4,28,26,113,312,0.14,1
15078,Rhikhuvi (Stewed Cowpea Leaves),146,1.3,23,49,202,660,0.53,1
15079,Kunde and Mrenda (Stewed Cowpeas and Jute Mallow leaves),158,2.4,23,93,244,761,0.64,2
15080,Obwoba (Stewed Mushrooms in Peanut Butter),38,1.4,47,130,408,822,0.54,15
15081,Chai ya Maziwa (Mixed Tea),42,0,5,40,45,15,0.21,1
15082,Stewed Dried Fish,189,2.1,57,395,403,572,1.02,29
15083,Kimanga cha Ndizi (Smoked Green Bananas and Kidney Beans),46,2,43,188,401,485,0.89,2
15084,Kimanga Cha Mihogo (Mashed Cassava and Pigeon Peas),94,1.6,44,93,469,303,0.85,4
15085,Ndoto (Sauteed Red Kidney Beans & Red Sorghum),25,1.8,53,162,211,270,0.89,6
15086,Muthokoi (Dehulled Maize and Beans),27,1.3,25,120,185,325,0.59,1
15087,Beef Stew,12,11.2,27,257,264,315,3.48,18
15090,Kimanga cha Viazi Vitamu (Mashed Sweet Potato & Black Beans),32,1.6,38,78,388,276,0.63,2
15091,Kitojo (Sweet Potato Leaves),97,0.9,51,31,500,648,0.26,1
15092,Mchuzi wa Mbaazi (Pigeon Peas Stew),47,1.4,33,69,260,281,0.74,4
15093,Nchenga/ Nzenga (Crushed Maize),13,0.3,11,22,85,552,0.16,0
15094,Mseto wa Viazi (Potatoes in Rice),9,0.4,9,45,92,131,0.38,0
15095,Likhanga (Stewed Guinea Fowl),31,2,22,152,240,736,1.25,18
15096,Fried tilapia,252,6.2,40,387,349,149,1.16,39
15097,Stewed Green Bananas,9,0.7,15,24,175,100,0.21,1
15098,Stir Fried Beef,16,16.4,40,422,483,682,5.13,27
15099,Stir Fried Goat Meat,33,4.1,50,424,465,221,5.74,43
15100,Finger Millet Ugali,137,4.4,61,72,212,3,0.67,6
15101,Omena wa Kukaangwa (Fried Omena),879,2.3,33,782,281,90,5.28,7
15102,Aluru (Stewed Quails),90,1.6,23,202,302,761,1.24,9
15103,Mashed Potatoes,10,1.4,20,82,650,330,0.32,1
15104,Mashed Bananas,8,0.6,20,25,245,348,0.19,1
15105,Enriched Mashed Potatoes,10,1.1,16,67,529,209,0.26,1
15106,Enriched Mashed Bananas,8,0.5,17,22,207,276,0.16,1
15107,Stewed Nile Perch,105,1,26,216,203,596,0.51,16
15108,Stewed Goat Meat,16,2.1,25,225,235,783,3.04,23
15109,Pan Fried Sweet Potatoes,44,0.8,21,50,325,16,0.73,1
15110,Potato Chips,17,2.7,37,159,1260,13,0.63,1
15111,Kimito (Mashed Beans & Potatoes),35,2.2,36,173,557,359,0.77,2
15112,Arrowroot Stew,11,0.9,18,41,431,250,0.44,1
15113,Sweet Potatoes with Peanut Butter,23,0.7,21,33,179,130,0.42,1
15114,Black Bean Stew (Dolichos/ Njahi Stew),17,1.2,26,55,175,164,0.42,2
15115,Bean Stew with Milk and Cream,66,1.9,34,197,259,273,0.96,2
15116,Mcheleng (Rice with Milk),53,0.4,12,96,73,419,0.64,1
15117,Pan Fried Arrowroots,8,1.3,29,50,696,616,1.09,1
15118,Nyenyi (Mashed Pigeon Peas & Green Maize),56,1.8,41,106,479,273,0.89,4
15119,Finger Millet and Sorghum Porridge,93,1.1,24,91,130,23,0.54,4
15120,Mashed Pumpkin and Black Nightshade Leaves,91,6.7,41,75,456,411,0.66,1
15121,Enriched Matoke,15,0.9,33,37,256,220,0.32,2
15122,Oatmeal,15,1,35,110,82,209,0.71,10
15123,Oat Porridge (Uji wa Shayiri),39,0.4,18,77,69,14,0.45,5
15124,Enriched Mandazi (East African Doughnuts; Enriched),45,3.3,21,134,105,80,0.66,2
15125,Basic Mandazi (East African Doughnuts; Basic),136,3.5,19,331,350,241,0.52,0
15126,Stewed Split Dal,22,1.2,21,54,142,459,0.42,6
15127,Potato Curry,25,1.7,22,68,475,537,0.41,1
15128,Peas and Brinjal Curry,38,2.1,30,71,253,520,1.96,2
15129,Steamed Rice (Wali wa Mvuke),10,0.3,9,49,22,521,0.45,1
15130,Rotli (Indian Chapati),25,2.7,83,199,234,354,1.64,27
15131,Potato Bhajia,29,3,39,132,783,587,0.78,2
15132,Chaas (Diluted Yoghurt),106,0.1,8,66,93,262,0.24,2
15133,Siro (Semolina & Nuts),81,0.5,19,105,140,24,0.66,4
15134,Minced Meat Balls,14,4.4,17,126,133,321,1.55,7
15136,Wheat Flour Porridge (Uji wa Ngano),14,0.9,21,32,60,3,0.24,1
15137,Okra Meat Dish,23,5.2,24,126,199,559,1.65,8
15138,Hydrabadi Biryani,35,1,22,115,187,457,0.62,15
15139,Chick Peas Curry,77,2.5,48,83,329,426,0.96,11
15140,Bhature (Fried Indian Bread),62,2.8,18,108,109,518,0.5,1
15141,Pumpkins with Peanut Butter,24,0.6,29,44,195,196,0.36,1
15142,Firinda (Skinned bean Stew),43,1.6,32,150,229,355,0.7,2
