code,food_name,vit_a_rae_mcg,vit_a_re_mcg,retinol_mcg,b_carotene_equivalent_mcg,thiamin_mg,riboflavin_mg,niacin_mg,folate_eq_mcg,food_folate_mcg,vit_b12_mcg,vit_c_mg
08018,"Dagaa fish (omena), dried, stewed (without salt)",58,58,58,0,0.13,0.24,7.9,18,18,24,0
08019,"Eel, steamed (without salt)",880,880,880,0,0.18,0.3,3,13,13,3,2
08020,"Eel, grilled (without salt and fat)",1084,1084,1084,0,0.23,0.41,4.1,16,16,4,2
08021,"Eel, boiled in recipe (without salt and fat)",1131,1131,1131,0,0.2,0.42,4,15,15,3,2
08022,"Herring stock, steamed (without salt)",34,34,34,0,0.05,0.19,2.7,7,7,12,0
08023,"Herring stock, grilled (without salt)",36,36,36,0,0.06,0.27,3.7,8,8,14,0
08024,"Herring stock, boiled in recipe (without salt and fat)",34,34,34,0,0.06,0.28,3.6,8,8,13,0
08025,"Lungfish, fillet, steamed (without salt)",10,10,10,0,0,0.24,1.8,2,2,2,0
08026,"Lungfish, fillet, grilled (without salt and fat)",11,11,11,0,0,0.33,2.5,2,2,2,0
08027,"Lungfish, fillet, boiled in recipe (without salt and fat)",10,10,10,0,0,0.34,2.5,2,2,2,0
08028,"Mudfish (kamongo), fillet, steamed (without salt)",10,10,10,0,0.06,0.03,2.6,11,11,3,0
08029,"Mudfish (kamongo), fillet, grilled (without salt and fat)",11,11,11,0,0.08,0.04,3.5,14,14,4,0
08030,"Mudfish (kamongo), fillet, boiled in recipe (without salt and fat)",10,10,10,0,0.07,0.04,3.5,14,14,4,0
08031,"Prawns, fresh, steamed (without salt)",16,11,11,56,0.03,0.07,2.2,11,11,2,0
08032,"Prawns, fresh, grilled (without salt and fat)",16,11,11,58,0.04,0.1,2.9,13,13,2,0
08033,"Prawns, fresh, boiled in recipe (without salt and fat)",16,11,11,59,0.04,0.09,2.9,13,13,2,0
08034,"Sardine, fresh, steamed (without salt)",10,10,10,0,0.01,0.04,0.7,19,19,0,0
08035,"Sardine, fresh, grilled (without salt and fat)",14,14,14,0,0.01,0.06,1.1,25,25,1,0
08036,"Sardine, fresh, boiled in recipe (without salt and fat)",13,13,13,0,0.01,0.06,1,23,23,1,0
08037,"Shark, steamed (without salt)",1,1,1,0,0.03,0.03,2.3,3,3,1,0
08038,"Shark, grilled (without salt and fat)",1,1,1,0,0.04,0.05,3.1,3,3,2,0
08039,"Shark, boiled in recipe (without salt and fat)",1,1,1,0,0.03,0.05,3.1,3,3,2,0
08040,"Tuna, steamed (without salt)",20,20,20,0,0.15,0.13,14.3,2,2,5,0
08041,"Tuna, grilled (without salt and fat)",22,22,22,0,0.2,0.18,19.9,3,3,6,0
08042,"Tuna, boiled in recipe (without salt and fat)",20,20,20,0,0.17,0.18,19.4,3,3,5,0
09001,Animal fat/ lard,0,0,0,0,0,0,0,0,0,0,0
09002,Corn oil,6,6,6.38,0,0,0,0,0,0,0,0
09003,Fish liver oil,30000,30000,30000,0,0,0,0,0,0,0,0
09004,"Margarine,20% fat",819,870,768,610,0,0,0,0,0,0,0
09005,"Margarine,60% fat",819,870,768,610,0.01,0.03,0,1,1,3.65,0.1
09006,"Margarine,80% fat",819,870,768,610,0,0,0,1,1,0.06,0.15
09007,Mustard seed oil,0,0,0,0,0,0,0,0,0,0,0
09008,Olive oil,1,2,0,11,0,0,0,0,0,0,0
09009,Peanut oil,0,0,0,0,0,0,0,0,0,0,0
09010,Red palm oil,5490,11000,0,65800,0.01,0.02,0,0,0,0,0
09011,"Shortening, commercial, vegetable fat",0,0,0,0,0,0,0.1,0,0,0,0
09012,Soya bean oil,3,3,2.66,0,0,0,0,0,0,0,0
09013,Sun flower oil,0,0,0,0,0,0,0,0,0,0,0
10001,"Bambara groundnuts, dried, raw",0,0,0,0,0.04,0.07,2.3,0,0,0,0
10002,"Coconut, fresh, mature fruit, flesh",0,0,0,0,0.08,0.08,1,14,14,0,2.6
10003,"Coconut, fresh, young or immature, flesh",0,0,0,0,0.03,0.6,1.2,20,20,0,5.8
10004,"Coconut meat, dried (desiccated)",0,0,0,0,0.08,0.1,0.6,9,9,0,2
10005,"Jack fruit, seed, mature, dry, raw",0,0,0,0,0.15,0.07,0.6,148,148,0,4.3
10006,"Mustard Seeds, Dry, Raw",3,6,0,37,0.65,0.26,3.7,75,75,0,0
10007,"Nut, almond, with or without skin, raw, unsalted",1,2,0,9,0.18,0.93,3.7,37,37,0,0.2
10008,"Nut, ground nut, with skin, unsalted, dry, raw",0,1,0,4,0.85,0.14,15,110,110,0,0
10010,"Nut, macadamia, raw, unsalted",0,0,0,0,0.27,0.1,2,114,114,0,4.6
10011,"Nut, pistachio, raw, unsalted",16,31,0,187,0.81,0.17,1.2,63,63,0,1.4
10012,Peanut Butter,0,1,0,4,0.85,0.14,15,110,110,0,0
10013,"Seed, pumpkin, hulled & dried, unsalted",19,38,0,228,0.33,0.16,1.6,56,56,0,1.9
10014,"Seed, sesame (sim sim) unsalted, dry, raw",0,1,0,5,1.01,0.34,5.1,103,103,0,0
10015,"Seed, sunflower, unsalted, dry, raw",1,1,0,7,0.86,0.2,224,224,0,14.2,14.2
10016,"Water Melon, Seed Kernel, Dry, Raw",0,0,0,0,0.12,0.2,3.1,58,58,0,0
11001,"Honey, Raw",0,0,0,0,0,0,0,0,0,0,0
11002,"Sugarcane, Juice, Raw",1,2,0,10.34,0.03,0.04,0.1,45,45,0,6.7
11003,"Sugar, white, granulated or lump",0,0,0,0,0,0,0,0,0,0,0
12001,"Beef, broth",1,1,0.67,0,0.01,0.03,0.4,2,2,0,0
12002,"Coconut, fresh, water",0,0,0,0,0.01,0.05,0.1,14,14,0,2.5
12003,"Coffee, instant, dry powder or granules",0,0,0,0,0,1,42.9,13,13,0,2
12004,"Drinking chocolate, powder",61,62,60,9,0.03,0.15,0.5,6,6,0,1
12005,"Tea, chai, instant dry powder",0,0,0,1,0,0.99,10.8,103,103,0,0
12006,"Water, tap",0,0,0,0,0,0,0,0,0,0,0
12007,"Wine, Red",0,0,0,0,0,0,0,0,0,0,0
12008,"Wine, White, Dry",0,0,0,0,0,0,0.1,0,0,0,2
12009,"Wine, White, Sweet",0,0,0,0,0,0,0.1,0,0,0,1.5
13001,Anise seed,16,32,0,0.34,0.29,3.1,10,10,0,21,21
13002,"Baking powder, dry powder",0,0,0,0,0,0,0,0,0,0,0
13003,"Baking soda (bicarbonate), dry powder",0,0,0,0,0,0,0,0,0,0,0
13004,"Bay leaf, dried",309,618,0,3710,0.01,0.42,2,180,180,0,46.5
13005,"Cardamom, seeds, ground",0,0,0,0,0.21,0.18,1.1,4,4,0,21
13006,"Chilli, fresh, raw",45,91,0,545,0.09,0.11,0.9,23,23,0,94.1
13007,"Chilli, dried",195,390,0,2342,0.95,0.43,6.9,52,52,0,31.4
13008,"Cinnamon, dried, ground",3,7,0,39,0.02,0.07,1.3,28,28,0,27.9
13009,"Cloves, dry, raw",6,13,0,78,0.08,0.13,1.2,20,20.1,0,0
13010,"Coconut, Milk",0,0,0,0,0.02,0.01,0,14,14,0,0.9
13011,"Coriander Leaves, fresh, raw",317,635,0,3810,0.3,0.1,0.9,62,62,0,35.9
13012,"Coriander seed, dried, ground",10,20,0,122,0.22,0.35,3.4,86,86,0,29
13013,"Cumin seeds, dried, raw",44,88,0,527,0.55,0.19,3.2,90,90,0,15
13014,"Curry leaves, fresh, raw",645,1290,0,7740,0.08,0.17,1.6,94,94,0,7
13015,Curry powder,80,161,0,965,0.25,0.28,3.5,56,56,0,11
13016,"Fenugreek leaves, fresh, raw",609,1220,0,7300,0.12,0.26,1.2,75,75,0,80.1
13017,"Fenugreek seeds, raw",8,15,0,91,0.34,0.29,1.5,57,57,0,3
13018,Garam masala,28,57,0,340,0.35,0.33,2.5,0,0,0,0
13019,"Garlic, peeled or unpeeled, fresh, raw",0,0,0,0,0.23,0.4,0.8,3,3,0,11
13020,"Ginger, dried, ground",80,161,0,965,0.16,0.27,3.5,88,88,0,29
13021,"Green Ginger (Mature), fresh, raw",3,6,0,35,0.03,0.06,2.5,30,30,0,8
13022,"Mint Leaves, fresh, raw",62,123,0,740,0.15,0.09,1.7,114,114,0,26
13023,"Onion, mature, red skinned, peeled, fresh, raw",1,2,0,10,0.02,0.04,0.3,14,14,0,7
13024,"Onion, spring, raw",53,105,0,632,0.04,0.06,0.6,48,48,0,26
13025,"Parsley, fresh, raw",354,708,0,4250,0.15,0.04,1.1,55,55,0,119
13026,"Pepper, ground, black, dry, raw",14,29,0,171,0.09,0.14,0.7,10,10,0,0
13027,"Salt, Iodized",0,0,0,0,0,0,0,0,0,0,0
13028,"Spice, mixed or all spice",55,109,0,656,0.25,0.45,4.9,52,52,0,30
13029,"Tamarind, fruit, dry, raw",0,0,0,1.54,60,0.18,2,10,10,0,0.6
13030,"Tamarind, fruit, fresh, raw",0,0,0,1.54,0.34,0.07,1.6,10,10,0,3.6
13031,"Tomato, sauce (Ketchup)",22,43,0,260,0,0.1,1.3,16,16,0,0
13032,"Tomato, paste, with added salt",113,225,0,1350,0.13,0.13,2.8,17,17,0,15
13033,"Tomato, soup, condensed, canned",11,22,0,130,0.3,0,1.3,3,3,0,4
13034,"Turmeric, dried, ground",80,161,0,965,0.26,0.23,3.4,85,85,0,30
13035,"Yeast, dry powder",0,0,0,0,2.8,4,8.5,4000,4000,0,0
14001,"Grasshopper, Brown, Fresh, Raw",174,174,174,0,0,1.04,0.2,1,1,0,3.2
14002,"Grasshopper, Green, Fresh, Raw",94,94,94,0,0,0.93,3.6,1,1,0,0.6
14003,"Termite, Dry, Raw",100,100,100,0,0.08,3.56,3.9,0,0,0,0.3
14004,"Termite, Fresh, Raw",224,224,224,0,0,4.18,2.8,0,0,0,0.7
15001,Uji wa mahindi (Maize Porridge),7,7,7,3,0.02,0.05,0.2,7,7,0.09,0
15002,"Sorghum, Finger Millet and Maize Porridge",7,7,7,3,0.02,0.05,0.3,5,5,0.09,0
15003,Kaimati (Fried Dumplings),30,30,30,1,0.33,0.25,2,209,76,0.25,0
15004,Mahamri (Swahili Doughnuts),41,42,41,1,0.43,0.3,2.7,243,60,0.34,0.1
15005,Whole Maize Flour Ugali,0,0,0,0,0.08,0.04,0.8,20,20,0,0
15006,Maize and Finger Millet Flour Ugali,0,0,0,0,0.07,0.02,1.2,24,24,0,0
15007,"Maize, Red Sorghum and Finger Millet Ugali",0,0,0,0,0.07,0.03,1,20,20,0,0
15008,Cassava and Red Sorghum Ugali,0,0,0,3,0.05,0.04,0.7,14,14,0,0.5
15009,Refined Maize Flour Ugali,0,0,0,0,0.09,0.04,0.8,21,21,0,0
15010,"Sorghum, Maize flour & Finger Millet Ugali",0,0,0,1,0.04,0.02,0.7,11,11,0,0
15011,Cassava Flour Ugali,1,1,0,7,0.03,0.05,0.6,18,18,0,1.8
15012,"Cassava, Millet & Sorghum Porridge",0,0,0,1,0.01,0.01,0.2,4,4,0,0.1
15013,Cassava Porridge (Uji wa Muhogo),0,0,0,1,0,0.01,0.1,2,2,0,0.2
15014,Finger Millet Porridge (Uji wa Wimbi),0,0,0,0,0.01,0,0.4,6,6,0,0
15015,Bulrush Millet Porridge (Uji wa Mawele),0,0,0,0,0.04,0.03,0.3,21,21,0,0.4
15016,Rice Flour Porridge (Uji wa Mchele),0,0,0,0,0.01,0,0.2,1,1,0,0.1
15017,Omena Stew (Silver Sardine Stew),52,60,44,94,0.04,0.18,1.6,12,12,5.61,6.4
15018,“Busara” (Whole Maize and Finger Millet Porridge),0,0,0,0,0.02,0.01,0.5,8,8,0,0
15019,White Chapati,59,59,58,1,0.56,0.36,3.6,280,20,0.48,0
15020,Brown Chapati,1,1,1,1,0.29,0.08,2,36,0,0,0
15022,Fried Egg (Mayai ya Kukaangwa),192,192,192,0,0.11,0.5,0,60,60,1.66,0
15023,Omelette,95,109,81,165,0.08,0.25,0.4,38,38,0.7,13.4
15024,Spanish Omelette,110,119,102,102,0.08,0.28,0.2,40,40,0.88,20.3
15025,Meat Samosa (Sambusa ya Nyama),66,85,48,223,0.47,0.42,5.1,222,32,1.19,7.4
15026,Vegetable Samosa (Sambusa ya Mboga),138,237,39,1185,0.46,0.31,3.2,227,52,0.33,23.7
15027,Pancakes (Chapati za Maji),77,78,76,8,0.4,0.4,2.5,203,24,0.77,0
15028,Tosti Mayai (Egg Toast),106,106,106,0,0.14,0.29,2.2,47,47,1,0
15029,Drop Scones,88,89,86,21,0.33,0.33,2,166,21,0.66,0
15030,“Terere” (Stir fried amaranth leaves),209,418,0,2510,0.03,0.16,0.6,37,37,0,49.3
15031,Sukumawiki (Stir fried kales),122,243,0,1460,0.08,0.1,0.8,35,35,0,82.1
15032,Stir-fried Cabbage,0,0,0,1,0.04,0.04,0.4,11,11,0,38.6
15033,Mrenda and Seveve (Jute Mallow and Pumpkin leaves),72,121,24,580,0.03,0.22,0.3,21,21,0.31,9.19
15034,Pumpkin Leaves,61,107,16,548,0.03,0.16,0.6,17,17,0.24,10.7
15035,"Saget, Terere & Managu (Spider plant, Amaranth & African Nightshade leaves)",132,244,19,1350,0.02,0.22,0.4,80,80,0.25,16.1
15036,Pilau (Spiced Rice),5,8,2,39,0.04,0.1,1.5,12,12,0.4,5.9
15037,Mseto wa Ndengu (Rice with green grams),1,1,0,9,0.04,0.04,0.3,30,30,0,0.3
15038,Mseto wa Maharagwe (Add Rice with Beans),3,5,0,27,0.06,0.06,0.6,29,29,0,2.3
15039,Nderema (Vine Spinach),166,313,20,1759,0.05,0.17,0.8,44,44,0,56.7
15040,"Fiqe (Red Sorghum, Beans and Teff Flour)",82,131,34,584,0.15,0.12,1.4,62,62,0,24
15041,"Qanchibelo (Beef, Maize & Wheat Flour)",40,63,18,270,0.14,0.18,2.4,85,13,0.56,19.3
15042,Qita (Maize and Wheat flour pancake),62,63,61,10,0.35,0.23,2.4,234,28,0.15,0.2
15043,"Gurdo, Marqa (Ugali in Sour Milk)",65,67,63,24,0.1,0.2,1.3,31,31,0.15,0.4
15044,Mchuzi wa ndengu (Green Gram Stew),4,8,0,46,0.08,0.04,0.4,71,71,0,2.1
15045,Mchuzi wa Maharagwe (Bean Stew),4,8,0,50,0.04,0.03,0.3,24,24,0,1.5
15046,Mchuzi wa Ndengu Kamande (Lentil Stew),3,7,0,40,0.08,0.05,0.6,22,22,0,4.3
15047,Nyirinyiri (Camel meat),1,3,0,15,0.04,0.31,8.3,12,12,2.31,0
15049,Ashir,5,5,5,2,0.02,0.03,0.1,3,3,0.06,0
15051,"Ugali (Cassava, Fingermillet and Sorghum Flour Ugali)",0,1,0,4,0.05,0.04,0.9,18,18,0,0.8
15052,Yam Stew,34,67,0,404,0.06,0.02,0.4,15,15,0,5.2
15053,Githeri (stewed Maize & Beans),0,1,0,2,0.1,0.06,0.8,52,52,0,0.5
15054,"Mukimo (Maize, Beans, Potatoes & Pumpkin Leaves)",4,9,0,52,0.08,0.05,0.9,48,48,0,2.7
15055,Githeri (Sauteed Fresh Maize and beans),2,5,0,27,0.12,0.08,1,57,57,0,0.8
15056,Matoke (Stewed Green Bananas & Meat),19,36,2,208,0.05,0.08,1.4,22,22,0.34,9.8
15057,"Mukimo (Fresh Maize, Potatoes & Pumpkin Leaves)",14,27,0,163,0.09,0.06,1.2,36,36,0,3.7
15058,Stewed Potatoes & Arrowroots,3,7,0,40,0.08,0.05,1,12,12,0,7.1
15059,"Mukimo wa Njahi (Black Beans, Green Bananas & Potatoes)",0,0,0,2,0.2,0.08,1.2,19,19,0,4.2
15060,Githeri (Fresh beans and Maize),6,13,0,76,0.13,0.09,1.4,54,54,0,9.2
15061,Mashed Potato and Bananas,4,8,0,49,0.06,0.04,0.9,35,35,0,12.6
15062,Mukimo wa Njahi (Raw & Ripe Bananas),1,2,0,12,0.15,0.07,0.8,14,14,0,9.8
15063,Groundnut Sauce,28,28,28,2,0.28,0.21,5,27,27,0.17,0
15064,Vimumunya vya Chumvi (Pumpkin & Coconut Milk),88,176,0,1060,0.05,0.05,0.6,22,22,0,5.5
15065,Vinolo (Banana and Maize Flour Ugali),16,16,16,1,0.12,0.08,0.9,96,8,0,6.2
15066,Biryani rice,0,0,0,0,0,0.02,0.04,0.4,3,3,0
15067,Vimumunya vya Sukari (Sweetened Pumpkin & Coconut Milk),81,162,0,973,0.05,0.04,0.5,19,19,0,5
15068,Wukunu (Sweet potatoes & Dehulled Black Beans),1,1,0,8,0.1,0.04,0.7,9,9,0,12.6
15069,Mushenye (Green Maize and Sweet Potatoes),1,3,0,16,0.15,0.07,1.6,50,50,0,5.9
15070,Ingokho (Stewed Chicken),63,74,53,125,0.11,0.13,5.1,14,14,0.38,18.4
15072,Tsiswa (Stewed termites),95,96,94,10,0.05,3.15,2.9,4,4,0.25,1.3
15073,Ingokho (Fried Chicken),134,134,134,0,0.18,0.25,12.3,13,13,0.97,2.3
15074,Wali wa Kuchemshwa (Boiled Rice),0,0,0,0,0.02,0.04,0.4,3,3,0,0
15075,Wali wa Yasmin (Onion Fried Rice),0,0,0,1,0.02,0.05,0.5,4,4,0,0.9
15076,Stir-fried Spinach,142,284,0,1700,0.02,0.08,0.5,70,70,0,16.9
15077,Thabai / Thaa (Stinging Nettle Leaves),0,1,0,4,0.01,0.06,0.2,62,62,0,1
15078,Rhikhuvi (Stewed Cowpea Leaves),32,52,12,239,0.19,0.22,0.7,31,31,0.15,12.6
15079,Kunde and Mrenda (Stewed Cowpeas and Jute Mallow leaves),84,147,21,757,0.1,0.29,0.4,38,38,0.28,13.1
15080,Obwoba (Stewed Mushrooms in Peanut Butter),6,12,0,69,0.17,0.35,2.2,27,27,0,6.7
15081,Chai ya Maziwa (Mixed Tea),14,14,13,6,0,0,0,1,1,0.17,0
15082,Stewed Dried Fish,0,0,57,124,0.05,0.03,3.3,0,19,1.52,10.4
15083,Kimanga cha Ndizi (Smoked Green Bananas and Kidney Beans),2,3,0,20,0.1,0.09,0.9,48,48,0,0.8
15084,Kimanga Cha Mihogo (Mashed Cassava and Pigeon Peas),4,8,0,49,0.13,0.07,0.8,52,52,0,1.5
15085,Ndoto (Sauteed Red Kidney Beans & Red Sorghum),0,1,0,3,0.08,0.05,1,35,35,0,0.4
15086,Muthokoi (Dehulled Maize and Beans),0,0,0,2,0.07,0.04,0.4,31,31,0,0.4
15087,Beef Stew,14,21,7,89,0.01,0.2,3.3,7,7,1.16,7.7
15090,Kimanga cha Viazi Vitamu (Mashed Sweet Potato & Black Beans),4,8,0,49,0.12,0.05,0.8,9,9,0,7.8
15091,Kitojo (Sweet Potato Leaves),138,276,0,1653,0.07,0.26,0.9,2,2,0,8.1
15092,Mchuzi wa Mbaazi (Pigeon Peas Stew),8,16,0,93,0.13,0.03,0.5,47,47,0,2.9
15093,Nchenga/ Nzenga (Crushed Maize),87,173,0,1038,0.03,0.01,0.2,5,5,0,1.5
15094,Mseto wa Viazi (Potatoes in Rice),2,4,0,23,0.02,0.03,0.4,7,7,0,2.5
15095,Likhanga (Stewed Guinea Fowl),10,18,2,96,0.02,0.15,2.4,7,7,0.14,8.4
15096,Fried tilapia,24,24,24,0,0.09,0.35,7.5,12,12,3.5,0
15097,Stewed Green Bananas,6,13,0,75,0.03,0.03,0.3,10,10,0,13.2
15098,Stir Fried Beef,19,28,10,107,0.02,0.31,5.1,10,10,1.86,9.4
15099,Stir Fried Goat Meat,42,60,24,214,0.2,0.33,5.4,14,14,2.84,18.7
15100,Finger Millet Ugali,0,0,0,1,0.06,0.01,1.6,26,26,0,0
15101,Omena wa Kukaangwa (Fried Omena),55,69,41,171,0.11,0.17,5.4,22,22,16.78,10.9
15102,Aluru (Stewed Quails),51,58,44,80,0.06,0.36,2.7,9,9,0.61,7.9
15103,Mashed Potatoes,0,0,0,0,0.06,0.03,1.1,42,42,0,6
15104,Mashed Bananas,0,0,0,2,0.04,0.03,0.2,11,11,0,13.7
15105,Enriched Mashed Potatoes,51,54,48,38,0.05,0.03,0.9,34,34,0,4.9
15106,Enriched Mashed Bananas,63,67,59,48,0.03,0.03,0.2,9,9,0.01,11.6
15107,Stewed Nile Perch,16,22,10,68,0.01,0.01,1.6,9,9,0.86,5.2
15108,Stewed Goat Meat,21,29,13,94,0.11,0.17,2.9,8,8,1.52,8.2
15109,Pan Fried Sweet Potatoes,796,1590,0,9550,0.04,0.07,1.2,11,11,0,35.2
15110,Potato Chips,0,0,0,0,0.11,0.07,2.3,82,82,0,12
15111,Kimito (Mashed Beans & Potatoes),0,0,0,1,0.09,0.06,1,58,58,0,3.4
15112,Arrowroot Stew,48,95,0,570,0.09,0.05,1.1,13,13,0,5.3
15113,Sweet Potatoes with Peanut Butter,263,526,0,3160,0.05,0.04,1.1,10,10,0,17
15114,Black Bean Stew (Dolichos/ Njahi Stew),3,5,0,30,0.07,0.03,0.4,4,4,0,2.6
15115,Bean Stew with Milk and Cream,25,32,19,77,0.08,0.11,0.6,47,47,0.12,4.4
15116,Mcheleng (Rice with Milk),44,47,42,27,0.02,0.14,0.3,9,9,0.2,0
15117,Pan Fried Arrowroots,2,3,0,20,0.21,0.1,2.4,0,0,0,1.7
15118,Nyenyi (Mashed Pigeon Peas & Green Maize),23,34,12,130,0.14,0.05,1,54,54,0,2.9
15119,Finger Millet and Sorghum Porridge,22,23,22,10,0.02,0.14,0.4,9,9,0.28,0
15120,Mashed Pumpkin and Black Nightshade Leaves,88,176,0,1050,0.09,0.27,1.4,233,233,0,21.5
15121,Enriched Matoke,0,0,0,2,0.08,0.04,1,14,14,0,12
15122,Oatmeal,0,0,0,0,0.13,0.03,0.2,6,6,0,0
15123,Oat Porridge (Uji wa Shayiri),11,11,11,5,0.05,0.08,0.1,3,3,0.14,0
15124,Enriched Mandazi (East African Doughnuts; Enriched),90,92,88,24,0.47,0.36,3,236,21,0.57,0.7
15125,Basic Mandazi (East African Doughnuts; Basic),48,48,48,1,0.46,0.29,3,230,17,0.4,0
15126,Stewed Split Dal,9,18,0,105,0.05,0.03,0.3,31,31,0,4.8
15127,Potato Curry,10,20,0,120,0.06,0.04,0.9,32,32,0,11.4
15128,Peas and Brinjal Curry,29,58,0,348,0.13,0.09,1.1,56,56,0,16.8
15129,Steamed Rice (Wali wa Mvuke),0,0,0,0,0.02,0.04,0.4,2,2,0,0
15130,Rotli (Indian Chapati),44,46,42,25,0.32,0.09,2.2,39,0,0,0
15131,Potato Bhajia,5,9,1,50,0.17,0.09,1.8,81,81,0,8.2
15132,Chaas (Diluted Yoghurt),24,26,23,16,0.04,0.11,0,0,0,0.12,0
15133,Siro (Semolina & Nuts),196,205,187,105,0.03,0.18,0.3,9,9,0.32,0
15134,Minced Meat Balls,9,16,2,79,0.02,0.1,1.4,5,5,0.43,4.1
15136,Wheat Flour Porridge (Uji wa Ngano),7,7,7,0,0.11,0.05,1.4,37,7,0.06,0
15137,Okra Meat Dish,15,28,3,151,0.03,0.1,1.7,13,13,0.51,9.3
15138,Hydrabadi Biryani,13,19,8,65,0.06,0.09,1.2,4,4,1.08,1.9
15139,Chick Peas Curry,12,23,0,140,0.11,0.06,0.6,61,61,0,5.5
15140,Bhature (Fried Indian Bread),73,87,58,170,0.38,0.27,2.4,180,15,0.35,1.4
15141,Pumpkins with Peanut Butter,91,182,0,1090,0.1,0.06,1.6,26,26,0,5.5
15142,Firinda (Skinned bean Stew),2,4,0,24,0.09,0.05,0.6,69,69,0,1
